"species","common_name","sci_name","phylo_name","Bmass","logBm","social_monogamy","nbrood","avgbrood","avgsire","pmult","pred_pmult","resid_pmult","mean.q","mean.nmates","taxa"
"Great reed warbler, Acrocephalus arundinaceus","Great reed warbler","Acrocephalus arundinaceus","Acrocephalus_arundinaceus",30,3.40119738166216,"xmono",272,2.49819655521783,1.06617647058824,0.0661764705882353,0.479948993113777,0.413772522525541,0.500573847680481,3.91304084558824,"bird"
"Great tit, Parus major","Great tit","Parus major","Parus_major",17.6,2.86789890204411,"mono",13,6.30769230769231,1.30769230769231,0.307692307692308,0.66138806244463,0.353695754752322,0.282490610609131,7.46794771488471,"bird"
"Great tit, Parus major","Great tit","Parus major","Parus_major",17.6,2.86789890204411,"mono",47,6.46808510638298,1.61702127659574,0.553191489361702,0.661979169464976,0.108787680103274,0.282490610609131,7.46794771488471,"bird"
"Great tit, Parus major","Great tit","Parus major","Parus_major",17.6,2.86789890204411,"mono",99,6.73737373737374,1.26262626262626,0.252525252525253,0.663294956670719,0.410769704145466,0.282490610609131,7.46794771488471,"bird"
"Greater sage-grouse, Centrocercus urophasianus","Greater sage-grouse","Centrocercus urophasianus","Centrocercus_urophasianus",1693.38,7.43448181057979,"xmono",191,6.31413612565445,1.07368421052632,0.0736842105263158,0.661408984794478,0.587724774268162,0.238770151735071,7.76613256218907,"bird"
"Greater sage-grouse, Centrocercus urophasianus","Greater sage-grouse","Centrocercus urophasianus","Centrocercus_urophasianus",1693.38,7.43448181057979,"xmono",10,7.2,1.2,0.2,0.666463389085385,0.466463389085385,0.238770151735071,7.76613256218907,"bird"
"Grey fantail, Rhipidura fuliginosa","Grey fantail","Rhipidura fuliginosa","Rhipidura_fuliginosa",7.7787,2.05138922911267,"mono",25,1.96,1.8,0.64,0.398079159797851,-0.241920840202149,0.642851062666644,3.5256284,"bird"
"Ground tit, Pseudopodoces humilis","Ground tit","Pseudopodoces humilis","Pseudopodoces_humilis",26.9,3.29212628660779,"mono",75,4.69333333333333,1.01333333333333,0.0133333333333333,0.634613450022507,0.621280116689174,0.327372938641512,5.6784332,"bird"
"House finch, Carpodacus mexicanus","House finch","Carpodacus mexicanus","Carpodacus_mexicanus",21.4,3.06339092202781,"mono",59,3.59322033898305,1.15254237288136,0.135593220338983,0.569805098653278,0.434211878314295,0.392352431007585,4.89791084745763,"bird"
"House sparrow, Passer domesticus","House sparrow","Passer domesticus","Passer_domesticus",27.4,3.31054301339402,"mono",112,2.72321428571429,1.03571428571429,0.0357142857142857,0.505610291567641,0.469896005853356,0.449483054333217,4.54080880131363,"bird"
"House sparrow, Passer domesticus","House sparrow","Passer domesticus","Passer_domesticus",27.4,3.31054301339402,"mono",56,3.30357142857143,1.28571428571429,0.285714285714286,0.549104361773152,0.263390076058866,0.449483054333217,4.54080880131363,"bird"
"House sparrow, Passer domesticus","House sparrow","Passer domesticus","Passer_domesticus",27.4,3.31054301339402,"mono",35,3.68571428571429,1.28571428571429,0.285714285714286,0.576102746620012,0.290388460905726,0.449483054333217,4.54080880131363,"bird"
"House wren, Troglodytes aedon","House wren","Troglodytes aedon","Troglodytes_aedon",11.1,2.40694510831829,"mono",181,4.73480662983425,1.52861878453039,0.375690607734807,0.636232077599751,0.260541469864944,0.313313286075791,6.40624194736842,"bird"
"House wren, Troglodytes aedon","House wren","Troglodytes aedon","Troglodytes_aedon",11.1,2.40694510831829,"mono",9,6,1.11111111111111,0.111111111111111,0.66059496316725,0.549483852056139,0.313313286075791,6.40624194736842,"bird"
"Imperial shag, Phalacrocorax atriceps","Imperial shag","Phalacrocorax atriceps","Phalacrocorax_atriceps",2266,7.72577144158795,"mono",37,2.97297297297297,1,0,0.524607105160575,0.524607105160575,0.448575224608067,4.1489872972973,"bird"
"Isabelline shrike, Lanius isabellinus","Isabelline shrike","Lanius isabellinus","Lanius_isabellinus",25.2,3.22684399451738,"mono",61,3.37704918032787,1.04918032786885,0.0491803278688525,0.55456422225994,0.505383894391087,0.418551706817673,4.68873262295082,"bird"
"Jabiru, Jabiru mycteria","Jabiru","Jabiru mycteria","Jabiru_mycteria",5217,8.55967780302239,"mono",13,2.61538461538462,1.38461538461538,0.0769230769230769,0.493787356980052,0.416864280056975,0.532514571498912,4.12032692307692,"bird"
"Kalij pheasant, Lophura leucomelanos","Kalij pheasant","Lophura leucomelanos","Lophura_leucomelanos",750,6.62007320653036,"xmono",13,6.07692307692308,1.76923076923077,0.538461538461538,0.660797411735241,0.122335873273703,0.350636433334647,7.40971,"bird"
"Karoo scrub-robin, Erythropygia coryphaeus","Karoo scrub-robin","Erythropygia coryphaeus","Erythropygia_coryphaeus",20.4,3.01553490085017,"mono",12,2.75,1.33333333333333,0.333333333333333,0.508370920003396,0.175037586670063,0.517593214716034,4.05674083333333,"bird"
"Kentish plover, Charadrius alexandrinus","Kentish plover","Charadrius alexandrinus","Charadrius_alexandrinus",42.3,3.74478708605223,"xmono",12,1.58333333333333,1,0,0.323702265711905,0.323702265711905,0.552119554484261,3.57476329230769,"bird"
"Kentish plover, Charadrius alexandrinus","Kentish plover","Charadrius alexandrinus","Charadrius_alexandrinus",42.3,3.74478708605223,"xmono",63,1.9047619047619,1.01587301587302,0.0158730158730159,0.388092303853315,0.372219287980299,0.552119554484261,3.57476329230769,"bird"
"Kentish plover, Charadrius alexandrinus","Kentish plover","Charadrius alexandrinus","Charadrius_alexandrinus",42.3,3.74478708605223,"xmono",28,2.03571428571429,1,0,0.411267013406086,0.411267013406086,0.552119554484261,3.57476329230769,"bird"
"Kentish plover, Charadrius alexandrinus","Kentish plover","Charadrius alexandrinus","Charadrius_alexandrinus",42.3,3.74478708605223,"xmono",19,2.42105263157895,1,0,0.470048215587397,0.470048215587397,0.552119554484261,3.57476329230769,"bird"
"Kentish plover, Charadrius alexandrinus","Kentish plover","Charadrius alexandrinus","Charadrius_alexandrinus",42.3,3.74478708605223,"xmono",73,2.52054794520548,1.04109589041096,0.0410958904109589,0.482689609665829,0.44159371925487,0.552119554484261,3.57476329230769,"bird"
"Kittlitz's plover, Charadrius pecuarius","Kittlitz's plover","Charadrius pecuarius","Charadrius_pecuarius",34,3.52636052461616,"xmono",15,1.2,1,0,0.233270177669741,0.233270177669741,0.70993576895183,2.91702466666667,"bird"
"Lesser kestrel, Falco naumanni","Lesser kestrel","Falco naumanni","Falco_naumanni",164,5.0998664278242,"mono",8,3,1.125,0.125,0.526261033360003,0.401261033360003,0.45791194203564,4.28812209677419,"bird"
"Lesser kestrel, Falco naumanni","Lesser kestrel","Falco naumanni","Falco_naumanni",164,5.0998664278242,"mono",23,3.1304347826087,1,0,0.535406800520991,0.535406800520991,0.45791194203564,4.28812209677419,"bird"
"Long-tailed tit, Aegithalos caudatus","Long-tailed tit","Aegithalos caudatus","Aegithalos_caudatus",8.6,2.15176220325946,"mono",48,7.75,1.125,0.125,0.671633188616081,0.546633188616081,0.209365326915154,8.627429375,"bird"
"Lovely fairy-wren, Malurus amabilis","Lovely fairy-wren","Malurus amabilis","Malurus_amabilis",8.2,2.10413415427021,"xmono",29,2,1.379310345,0.275862069,0.405117443970635,0.129255374970635,0.590029622676648,3.55079,"bird"
"Madagascar plover, Charadrius thoracicus","Madagascar plover","Charadrius thoracicus","Charadrius_thoracicus",11.5,2.4423470353692,"mono",12,1.66666666666667,1,0,0.341415113609884,0.341415113609884,0.595251440825827,3.18273333333333,"bird"
"Mallard, Anas platyrhynchos","Mallard","Anas platyrhynchos","Anas_platyrhynchos",1095,6.9985096422506,"xmono",25,9.96153846153846,1.6,0.48,0.705309554986813,0.225309554986813,0.198176889381835,10.684332,"bird"
"Mexican jay, Aphelocoma ultramarina","Mexican jay","Aphelocoma ultramarina","Aphelocoma_ultramarina",126.7826,4.84247380861229,"mono",51,2.72549019607843,1.76470588235294,0.627450980392157,0.505853305901961,-0.121597674490196,0.560639460831417,4.32217784313726,"bird"
"Monk parakeet, Myiopsitta monachus","Monk parakeet","Myiopsitta monachus","Myiopsitta_monachus",5547,8.62101252005523,"mono",52,1.11538461538462,1,0,0.211366933627721,0.211366933627721,0.569404824204232,3.45467487179487,"bird"
"Monk parakeet, Myiopsitta monachus","Monk parakeet","Myiopsitta monachus","Myiopsitta_monachus",5547,8.62101252005523,"mono",14,1.92857142857143,1,0,0.392435428672295,0.392435428672295,0.569404824204232,3.45467487179487,"bird"
"Monk parakeet, Myiopsitta monachus","Monk parakeet","Myiopsitta monachus","Myiopsitta_monachus",5547,8.62101252005523,"mono",12,2.83333333333333,1,0,0.515505776258571,0.515505776258571,0.569404824204232,3.45467487179487,"bird"
"Montagu's harrier, Circus pygargus","Montagu's harrier","Circus pygargus","Circus_pygargus",370,5.91350300563827,"mono",10,3.2,1.1,0.1,0.54106840958939,0.44106840958939,0.390372749231644,4.511852,"bird"
"New Zealand hihi, Notiomystis cincta","New Zealand hihi","Notiomystis cincta","Notiomystis_cincta",88.6,4.48413185761104,"mono",485,3.17113402061856,1.57938144329897,0.437113402061856,0.538747039868048,0.101633637806192,0.486693579958663,4.63329748453608,"bird"
"New Zealand robin, Petroica australis","New Zealand robin","Petroica australis","Petroica_australis",29.85,3.39618483983861,"mono",54,3.66666666666667,1.01851851851852,0.0185185185185185,0.574810350458327,0.556291831939808,0.371132674183774,4.98397574074074,"bird"
"North American black tern, Chlidonias niger","North American black tern","Chlidonias niger","Chlidonias_niger",65.3,4.17899203628239,"mono",11,2.54545454545455,1,0,0.485683178127184,0.485683178127184,0.493395489351496,3.89685272727273,"bird"
"Northern bobwhite, Colinus virginianus","Northern bobwhite","Colinus virginianus","Colinus_virginianus",177.3946,5.17837662972785,"xmono",34,11.0588235294118,2.29,0.852941176470588,0.727905102850019,-0.125036073620569,0.224872422172351,11.9496352941177,"bird"
"Northern flicker, Colaptes auratus","Northern flicker","Colaptes auratus","Colaptes_auratus",125,4.8283137373023,"mono",53,6.92452830188679,1.0188679245283,0.0188679245283019,0.664441475212774,0.645573550684473,0.229339166777244,7.85343962264151,"bird"
"Ostrich, Struthio camelus","Ostrich","Struthio camelus","Struthio_camelus",111000,11.6172854802945,"xmono",4,6.75,2.5,1,0.663366398529998,-0.336633601470002,0.404838711528484,7.8128175,"bird"
"Pied babbler, Turdoides bicolor","Pied babbler","Turdoides bicolor","Turdoides_bicolor",78.3,4.36054760299676,"mono",61,2.37704918032787,1.04918032786885,0.0491803278688525,0.464055300849822,0.41487497298097,0.516418044773624,3.78850295081967,"bird"
"Pied flycatcher, Ficedula hypoleuca","Pied flycatcher","Ficedula hypoleuca","Ficedula_hypoleuca",15.6,2.74727091425549,"xmono",59,4.54237288135593,1.43220338983051,0.288135593220339,0.628142801153046,0.340007207932707,0.323919098737605,6.36974453521128,"bird"
"Pied flycatcher, Ficedula hypoleuca","Pied flycatcher","Ficedula hypoleuca","Ficedula_hypoleuca",15.6,2.74727091425549,"xmono",296,5.91554054054054,1.21959459459459,0.189189189189189,0.660235773446918,0.471046584257729,0.323919098737605,6.36974453521128,"bird"
"Prairie chicken, Tympanuchus cupido","Prairie chicken","Tympanuchus cupido","Tympanuchus_cupido",794.2024,6.67733834060142,"xmono",25,8.5,1.64,0.44,0.680921159182185,0.240921159182185,0.225369316757891,9.4769032,"bird"
"Red phalarope, Phalaropus fulicarius","Red phalarope","Phalaropus fulicarius","Phalaropus_fulicarius",62.2,4.13035499974513,"xmono",18,3.88888888888889,1.33333333333333,0.333333333333333,0.589807771482711,0.256474438149378,0.380887312524442,5.44582666666667,"bird"
"Red-billed quelea, Quelea quelea","Red-billed quelea","Quelea quelea","Quelea_quelea",18.1,2.89591193827178,"mono",37,1.51351351351351,1.32432432432432,0.324324324324324,0.30832045700334,-0.016003867320984,0.659869894415975,3.19868702702703,"bird"
"Red-breasted flycatcher, Ficedula parva","Red-breasted flycatcher","Ficedula parva","Ficedula_parva",9.9,2.29253475714054,"mono",33,4.81818181818182,1.39393939393939,0.242424242424242,0.639304146138021,0.396879903713779,0.343727722058555,5.87003636363637,"bird"
"Red-capped plover, Charadrius ruficapillus","Red-capped plover","Charadrius ruficapillus","Charadrius_ruficapillus",37.4,3.62167070442049,"no_info",4,1.75,1,0,0.358418845875431,0.358418845875431,0.583529508507143,3.42259,"bird"
"Red-footed falcon, Falco vespertinus","Red-footed falcon","Falco vespertinus","Falco_vespertinus",170,5.13579843705026,"mono",37,2.62162162,1.027027027,0.027027027,0.494491035891521,0.467464008891521,0.485817125636163,3.9778027027027,"bird"
"Reed bunting, Emberiza schoeniclus","Reed bunting","Emberiza schoeniclus","Emberiza_schoeniclus",17.2,2.84490938381941,"mono",121,4,1.97058823529412,0.558823529411765,0.597127708971425,0.0383041795596599,0.469534341204903,5.39320743801653,"bird"
"Ridgway's hawk, Buteo ridgwayi","Ridgway's hawk","Buteo ridgwayi","Buteo_ridgwayi",500,6.21460809842219,"mono",41,1.8695652173913,1,0,0.381563849988734,0.381563849988734,0.564755409839681,3.49507975609756,"bird"
"Rufous-and-white wren, Thryothorus rufalbus","Rufous-and-white wren","Thryothorus rufalbus","Thryothorus_rufalbus",25,3.2188758248682,"mono",51,3.09803921568627,1.05882352941176,0.0588235294117647,0.532847641895717,0.474024112483952,0.449685155371321,4.49110764705883,"bird"
"Rufous-chested dotterel, Charadrius modestus","Rufous-chested dotterel","Charadrius modestus","Charadrius_modestus",78,4.35670882668959,"no_info",8,1.75,1,0,0.358418845875431,0.358418845875431,0.601667325524111,3.4712825,"bird"
"Saddleback, Philesturnus carunculatus","Saddleback","Philesturnus carunculatus","Philesturnus_carunculatus",69.2,4.23700086262362,"mono",39,5.17948717948718,1,0,0.649964059733643,0.649964059733643,0.306099640294547,6.15049410256411,"bird"
"Saffron finch, Sicalis flaveola","Saffron finch","Sicalis flaveola","Sicalis_flaveola",17.075,2.83761540545685,"mono",54,3.66666666666667,1.2962962962963,0.222222222222222,0.574810350458327,0.352588128236105,0.431446203906476,5.03281962962962,"bird"
"Sanderling, Calidris alba","Sanderling","Calidris alba","Calidris_alba",51.3,3.93769075217672,"xmono",48,3.56,1.04166666666667,0.0416666666666667,0.567521286679691,0.525854620013024,0.388816231176497,5.00277270833333,"bird"
"Savi's warbler, Locustella luscinioides","Savi's warbler","Locustella luscinioides","Locustella_luscinioides",13.8766,2.63020396829951,"mono",102,3.84313725490196,1.05882352941176,0.0588235294117647,0.586746775354467,0.527923245942702,0.380013042540641,5.07572245098039,"bird"
"Scaled quail, Callipepla squamata","Scaled quail","Callipepla squamata","Callipepla_squamata",177,5.17614973257383,"mono",22,9.72727272727273,1.09,0.0909090909090909,0.700913076828567,0.610003985919476,0.17638892055215,10.6519990909091,"bird"
"Scarlet rosefinch, Carpodacus erythrinus","Scarlet rosefinch","Carpodacus erythrinus","Carpodacus_erythrinus",23,3.13549421592915,"mono",75,4.29032258064516,2.3,0.32,0.614987662338882,0.294987662338882,0.50087032017705,5.63139813333333,"bird"
"Scarlet tanager, Piranga olivacea","Scarlet tanager","Piranga olivacea","Piranga_olivacea",28.2,3.33932197794407,"mono",17,3.17647058823529,1.52941176470588,0.294117647058824,0.539179103768145,0.245061456709321,0.480658511476736,4.58695705882353,"bird"
"Scissor-tailed flycatchers, Tyrannus forficatus","Scissor-tailed flycatchers","Tyrannus forficatus","Tyrannus_forficatus",39.3,3.67122451887522,"mono",140,3.92857142857143,1.65040650406504,0.435714285714286,0.592442904606524,0.156728618892238,0.45351207904956,5.30052328571428,"bird"
"Seaside sparrow, Ammodramus maritimus","Seaside sparrow","Ammodramus maritimus","Ammodramus_maritimus",22.014,3.0916786146012,"mono",18,2.61111111111111,1.16666666666667,0.166666666666667,0.493303546962435,0.326636880295768,0.52411133648736,3.974525,"bird"
"Sedge warbler, Acrocephalus schoenobaenus","Sedge warbler","Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus",12.0584,2.48976151251418,"mono",85,4.74117647058824,1.20168067226891,0.188235294117647,0.636475308467404,0.448240014349757,0.341072294593299,5.95941376470588,"bird"
"Siberian jay, Perisoreus infaustus","Siberian jay","Perisoreus infaustus","Perisoreus_infaustus",84.4,4.43556740160191,"mono",23,1.73913043478261,1,0,0.356241407278151,0.356241407278151,0.601045139185429,3.33278043478261,"bird"
"Snowy plover, Charadrius nivosus","Snowy plover","Charadrius nivosus","Charadrius_nivosus",42.3,3.74478708605223,"xmono",93,2.16129032258065,1,0,0.431913559941853,0.431913559941853,0.549480246721252,3.62897,"bird"
"Sociable weaver, Philetairus socius","Sociable weaver","Philetairus socius","Philetairus_socius",27.4,3.31054301339402,"mono",20,2.8,1,0,0.512882789800194,0.512882789800194,0.441576169823571,4.165744,"bird"
"Song sparrow, Melospiza melodia","Song sparrow","Melospiza melodia","Melospiza_melodia",19.5,2.9704144655697,"mono",11,3.45454545454545,1.36363636363636,0.363636363636364,0.560146762540669,0.196510398904305,0.502824976571573,4.53404454545454,"bird"
"Southern emu-wren, Stipiturus malachurus","Southern emu-wren","Stipiturus malachurus","Stipiturus_malachurus",7.3,1.98787434815435,"mono",27,1.85185185185185,1.07407407407407,0.0740740740740741,0.378228901419901,0.304154827345827,0.607793613961186,3.36393111111111,"bird"
"Spotted towhee, Pipilo maculatus","Spotted towhee","Pipilo maculatus","Pipilo_maculatus",38,3.63758615972639,"mono",145,2.51754385964912,1.60689655172414,0.351,0.482324325767366,0.131324325767366,0.569129493185269,4.05805103448276,"bird"
"Stellers jay, Cyanocitta stelleri","Stellers jay","Cyanocitta stelleri","Cyanocitta_stelleri",128,4.85203026391962,"mono",41,1.92682926829268,1.14634146341463,0.146341463414634,0.392119624298143,0.245778160883509,0.600545195376984,3.46965512195122,"bird"
"Subdesert mesite, Monias benschi","Subdesert mesite","Monias benschi","Monias_benschi",142,4.95582705760126,"xmono",11,1.54545454545455,1.18181818181818,0.181818181818182,0.315418274985969,0.133600093167787,0.67408793640305,3.16683,"bird"
"Superb fairy-wren, Malurus cyaneus","Superb fairy-wren","Malurus cyaneus","Malurus_cyaneus",10.5,2.35137525716348,"mono",12,2.25,1.41666666666667,0.333333333333333,0.445620076509468,0.112286743176135,0.574084609842352,3.793175,"bird"
"Swainsons hawk, Buteo swainsoni","Swainsons hawk","Buteo swainsoni","Buteo_swainsoni",1109,7.01121398735037,"mono",27,2.07407407407407,1.03448275862069,0.0344827586206897,0.41773321042006,0.383250451799371,0.597275627884324,3.45714925925926,"bird"
"Tawny owl, Strix aluco","Tawny owl","Strix aluco","Strix_aluco",524,6.26149168432104,"mono",37,3.7027027027027,1.02702702702703,0.027027027027027,0.577255435968588,0.550228408941561,0.38431151177334,4.90665837837838,"bird"
"Tree swallow, Tachycineta bicolor","Tree swallow","Tachycineta bicolor","Tachycineta_bicolor",21.2,3.05400118167797,"mono",21,4.95238095238095,2.0952380952381,0.761904761904762,0.643753621635627,-0.118151140269135,0.405108525609704,6.4423093125,"bird"
"Tree swallow, Tachycineta bicolor","Tree swallow","Tachycineta bicolor","Tachycineta_bicolor",21.2,3.05400118167797,"mono",99,5.07070707070707,1.84146341463415,0.682926829268293,0.647189889547137,-0.0357369397211561,0.405108525609704,6.4423093125,"bird"
"Tree swallow, Tachycineta bicolor","Tree swallow","Tachycineta bicolor","Tachycineta_bicolor",21.2,3.05400118167797,"mono",40,5.4,2.075,0.85,0.654520932862806,-0.195479067137194,0.405108525609704,6.4423093125,"bird"
"Two-banded plover, Charadrius falklandicus","Two-banded plover","Charadrius falklandicus","Charadrius_falklandicus",65,4.17438726989564,"no_info",6,2.5,1,0,0.480172107775111,0.480172107775111,0.565443727876618,3.60189833333333,"bird"
"Varied tit, Parus varius","Varied tit","Parus varius","Parus_varius",17,2.83321334405622,"mono",40,6.275,1.4,0.4,0.661285589706799,0.261285589706799,0.291938516948371,7.03980925,"bird"
"Vinous-throated parrotbills, Paradoxornis webbianus","Vinous-throated parrotbills","Paradoxornis webbianus","Paradoxornis_webbianus",10.9,2.3887627892351,"mono",50,4.92,1.36,0.26,0.642734718931414,0.382734718931414,0.352370291653803,6.2393618,"bird"
"Whiskered tern, Chlidonias hybrida","Whiskered tern","Chlidonias hybrida","Chlidonias_hybrida",77.8,4.35414143118435,"mono",56,2.5,1.089285714,0.089285714,0.480172107775111,0.390886393775111,0.504703356860676,3.99249267857143,"bird"
"White-crowned penduline tit, Remiz coronatus","White-crowned penduline tit","Remiz coronatus","Remiz_coronatus",6.9,1.93152141160321,"mono",5,5.8,1,0,0.659499601992589,0.659499601992589,0.302102897456131,7.188948,"bird"
"White-eyed vireo, Vireo griseus","White-eyed vireo","Vireo griseus","Vireo_griseus",11.4,2.43361335540045,"mono",36,2.83333333333333,1.05555555555556,0.0555555555555556,0.515505776258571,0.459950220703016,0.456358877244156,4.1861775,"bird"
"White-fronted plover, Charadrius marginatus","White-fronted plover","Charadrius marginatus","Charadrius_marginatus",48.3,3.87743156065853,"mono",10,1.7,1,0,0.348302056956488,0.348302056956488,0.626100935280029,3.124169,"bird"
"White-tailed ptarmigan, Lagopus leucura","White-tailed ptarmigan","Lagopus leucura","Lagopus_leucura",351,5.86078622346587,"mono",18,3.22222222222222,1.16666666666667,0.166666666666667,0.542829962294279,0.376163295627612,0.441047746973184,4.72349833333333,"bird"
"White-throated dipper, Cinclus cinclus","White-throated dipper","Cinclus cinclus","Cinclus_cinclus",56.3705,4.03194597202044,"xmono",40,4.625,1.05,0.05,0.631812516736628,0.581812516736628,0.31887443528746,5.80258025,"bird"
"Wood stork, Mycteria americana","Wood stork","Mycteria americana","Mycteria_americana",2415,7.78945456608667,"mono",29,3,1,0,0.526261033360003,0.526261033360003,0.439922527672001,4.23577827586207,"bird"
"Wood thrush, Hylocichla mustelina","Wood thrush","Hylocichla mustelina","Hylocichla_mustelina",52.5,3.96081316959758,"mono",51,2.96078431372549,1.13725490196078,0.137254901960784,0.523866313574296,0.386611411613512,0.451803613433785,4.37376784313726,"bird"
"Wood warbler, Phylloscopus sibilatrix","Wood warbler","Phylloscopus sibilatrix","Phylloscopus_sibilatrix",9.2,2.21920348405499,"mono",3,2,1.33333333333333,0.333333333333333,0.405117443970635,0.0717841106373024,0.61641466556732,3.70162333333333,"bird"
"Yellow rumped flycatcher, Ficedula zanthopygia","Yellow rumped flycatcher","Ficedula zanthopygia","Ficedula_zanthopygia",12.416,2.51898596344086,"mono",64,5.078125,1.546875,0.546875,0.647390591958194,0.100515591958194,0.360962316793452,6.26358796875,"bird"
"Yellow-breasted chat, Icteria virens","Yellow-breasted chat","Icteria virens","Icteria_virens",25.4,3.23474917402449,"mono",55,2.1,1.26666666666667,0.233333333333333,0.422023312205742,0.188689978872409,0.5608949867865,3.60382472727273,"bird"
"Yellow-shouldered blackbird, Agelaius xanthomus","Yellow-shouldered blackbird","Agelaius xanthomus","Agelaius_xanthomus",38.4,3.64805745959368,"xmono",30,2.9,1.5,0.366666666666667,0.520099058482563,0.153432391815896,0.488005930045661,4.36196933333333,"bird"
"Zebra finch, Taeniopygia guttata","Zebra finch","Taeniopygia guttata","Taeniopygia_guttata",12.2,2.50143595173921,"mono",80,3.95,1.05,0.05,0.593856868668537,0.543856868668537,0.363265302902111,5.293527625,"bird"
