species,nbrood,avgbrood,minbrood,maxbrood,pmult,avgsire,minsire,maxsire,DNA,SocMon,Reference
"Cooper's hawk, Accipiter cooperii",44,3.181818182,1,6,0.340909091,1.340909091,1,2,microsatellite,mono,Rosenfield et al. 2015
"Great reed warbler, Acrocephalus arundinaceus",272,2.498196555,2,6,0.066176471,1.066176471,1,2,microsatellite,xmono,Hansson et al 2004
"Black-browed reed-warbler, Acrocephalus bistrigiceps",37,3.783783784,3,6,0.135135135,1.135135135,1,2,microsatellite,xmono,Hamao & Saito 2005
"Sedge warbler, Acrocephalus schoenobaenus",85,4.741176471,NA,NA,0.188235294,1.201680672,1,3,microsatellite,mono,Marshall et al 2007
"Eurasian reed-warbler, Acrocephalus scirpaceus",52,3.576923077,NA,NA,0.153846154,1.153846154,1,2,microsatellite,mono,Davies et al 2003
"Long-tailed tit, Aegithalos caudatus",48,7.75,NA,NA,0.125,1.125,1,2,microsatellite,mono,Hatchwell et al 2002
"Boreal owl, Aegolius funereus",32,3.40625,NA,NA,0,1,1,1,microsatellite,mono,Koopman et al 2007
"Yellow-shouldered blackbird, Agelaius xanthomus",30,2.9,NA,NA,0.366666667,1.5,1,3,microsatellite,xmono,Liu et al 2015
"Seaside sparrow, Ammodramus maritimus",18,2.611111111,NA,NA,0.166666667,1.166666667,1,2,microsatellite,mono,Hill and Post 2005
"Mallard, Anas platyrhynchos",25,9.961538462,NA,NA,0.48,1.6,1,3,microsatellite,xmono,Kreisinger et al 2010
"Cape pendulin tit, Anthoscopus minutus",13,3.230769231,NA,NA,0.153846154,1.153846154,1,2,microsatellite,mono,Ball et al. 2017
"Mexican jay, Aphelocoma ultramarina",51,2.725490196,NA,NA,0.62745098,1.764705882,1,3,microsatellite,mono,Li & Brown (2000)
"Common swift, Apus apus",42,2.095238095,NA,NA,0.095238095,1.095238095,1,2,fingerprint,mono,Martins et al. 2002
"Eastern imperial eagle, Aquila heliaca",86,1.930232558,NA,NA,0,1,1,1,microsatellite,mono,Rudnick et al 2005
"Ridgway's hawk, Buteo ridgwayi",41,1.869565217,1,2,0,1,1,1,microsatellite,mono,Woolaver et al 2013
"Swainsons hawk, Buteo swainsoni",27,2.074074074,NA,NA,0.034482759,1.034482759,1,2,microsatellite,mono,Briggs & Collopy 2012
"Sanderling, Calidris alba",48,3.56,NA,NA,0.041666667,1.041666667,1,2,microsatellite,xmono,Reneerkens et al 2014
"Scaled quail, Callipepla squamata",22,9.727272727,NA,NA,0.090909091,1.09,1,2,microsatellite,mono,Davis et al 2017
"Eurasian linnet, Carduelis cannabina",22,4.818181818,NA,NA,0.090909091,1.090909091,1,2,microsatellite,mono,Bonlokke-Pedersen et al 2002
"Scarlet rosefinch, Carpodacus erythrinus",75,4.290322581,NA,NA,0.32,2.3,1,5,microsatellite,mono,Albrecht et al 2007; Albrecht et al 2009
"House finch, Carpodacus mexicanus",59,3.593220339,NA,NA,0.13559322,1.152542373,1,3,microsatellite,mono,Lindstedt et al 2007
"Greater sage-grouse, Centrocercus urophasianus",191,6.314136126,NA,NA,0.073684211,1.073684211,1,2,microsatellite,xmono,Bird et al 2012
"Greater sage-grouse, Centrocercus urophasianus",10,7.2,NA,NA,0.2,1.2,1,2,microsatellite,xmono,Semple et al (2001)
"Black coucal, Centropus grillii",35,3.628571429,2,5,0.371428571,1.4,1,3,microsatellite,xmono,Muck et al 2009
"Black guillemot, Cepphus grylle",32,1.4375,NA,NA,0,1,1,1,microsatellite,mono,Anker-Nilsson et al (2010)
"Kentish plover, Charadrius alexandrinus",12,1.583333333,NA,NA,0,1,1,1,microsatellite,xmono,Maher et al 2017
"Kentish plover, Charadrius alexandrinus",28,2.035714286,NA,NA,0,1,1,1,microsatellite,xmono,Maher et al 2017
"Kentish plover, Charadrius alexandrinus",19,2.421052632,NA,NA,0,1,1,1,microsatellite,xmono,Maher et al 2017
"Kentish plover, Charadrius alexandrinus",63,1.904761905,NA,NA,0.015873016,1.015873016,1,2,microsatellite,xmono,Maher et al 2017
"Kentish plover, Charadrius alexandrinus",73,2.520547945,NA,NA,0.04109589,1.04109589,1,2,microsatellite,xmono,Maher et al 2017
"Two-banded plover, Charadrius falklandicus",6,2.5,NA,NA,0,1,1,1,microsatellite,no_info,Maher et al 2017
"White-fronted plover, Charadrius marginatus",10,1.7,NA,NA,0,1,1,1,microsatellite,mono,Maher et al 2017
"Rufous-chested dotterel, Charadrius modestus",8,1.75,NA,NA,0,1,1,1,microsatellite,no_info,Maher et al 2017
"Snowy plover, Charadrius nivosus",93,2.161290323,NA,NA,0,1,1,1,microsatellite,xmono,Maher et al 2017
"Kittlitz's plover, Charadrius pecuarius",15,1.2,NA,NA,0,1,1,1,microsatellite,xmono,Maher et al 2017
"Red-capped plover, Charadrius ruficapillus",4,1.75,NA,NA,0,1,1,1,microsatellite,no_info,Maher et al 2017
"Madagascar plover, Charadrius thoracicus",12,1.666666667,NA,NA,0,1,1,1,microsatellite,mono,Maher et al 2017
"Whiskered tern, Chlidonias hybrida",56,2.5,1,3,0.089285714,1.089285714,1,2,microsatellite,mono,Ledwo & Szczys (2021)
"North American black tern, Chlidonias niger",11,2.545454545,NA,NA,0,1,1,1,microsatellite,mono,Shealer et al 2014
"White-throated dipper, Cinclus cinclus",40,4.625,NA,NA,0.05,1.05,1,2,microsatellite,xmono,Oigarden et al 2010
"Montagu's harrier, Circus pygargus",10,3.2,NA,NA,0.1,1.1,1,2,microsatellite,mono,Rutkowski et al 2014
"Northern flicker, Colaptes auratus",53,6.924528302,NA,NA,0.018867925,1.018867925,1,2,microsatellite,mono,Wiebe & Kempenaers 2009
"Campo Flicker, Colaptes campestris",33,2.727272727,NA,NA,0.03030303,1.03030303,1,2,microsatellite,xmono,Igor et al 2013
"Northern bobwhite, Colinus virginianus",34,11.05882353,NA,NA,0.852941176,2.29,1,4,microsatellite,xmono,Davis et al 2017
"Stellers jay, Cyanocitta stelleri",41,1.926829268,NA,NA,0.146341463,1.146341463,1,2,microsatellite,mono,Overeem et al 2014
"Chestnut-sided warbler, Dendroica pensylvanica",33,2.878787879,NA,NA,0.606060606,1.696969697,1,3,microsatellite,mono,Byers et al 2004
"Reed bunting, Emberiza schoeniclus",121,4,2,5,0.558823529,1.970588235,1,5,microsatellite,mono,Bouwman et al 2006
"Acadian flycatcher, Empidonax virescens",12,2.416666667,NA,NA,0.25,1.25,1,2,microsatellite,mono,Evans et al 2009
"Acadian flycatcher, Empidonax virescens",53,2.509433962,NA,NA,0.58490566,2.516129032,1,3,microsatellite,mono,Woolfenden et al 2005
"Karoo scrub-robin, Erythropygia coryphaeus",12,2.75,NA,NA,0.333333333,1.333333333,1,2,microsatellite,mono,Ribeiro et al 2012
"Lesser kestrel, Falco naumanni",23,3.130434783,NA,NA,0,1,1,1,microsatellite,mono,Alcaide et al 2005
"Lesser kestrel, Falco naumanni",8,3,NA,NA,0.125,1.125,1,2,microsatellite,mono,Alcaide et al 2005
"Red-footed falcon, Falco vespertinus",37,2.62162162,NA,NA,0.027027027,1.027027027,1,2,microsatellite,mono,Magonyi et al. (2021)
"Pied flycatcher, Ficedula hypoleuca",296,5.915540541,3,8,0.189189189,1.219594595,1,4,microsatellite,xmono,Grinkov et al. 2018
"Pied flycatcher, Ficedula hypoleuca",59,4.542372881,NA,NA,0.288135593,1.43220339,1,3,microsatellite,xmono,Moreno et al 2013
"Red-breasted flycatcher, Ficedula parva",33,4.818181818,NA,NA,0.242424242,1.393939394,1,3,microsatellite,mono,Mitrus et al 2014
"Yellow rumped flycatcher, Ficedula zanthopygia",64,5.078125,NA,NA,0.546875,1.546875,1,2,microsatellite,mono,Mingju et al 2017
"Cactus finch, Geospiza scandens",66,2.409090909,NA,NA,0.151515152,1.166666667,1,3,microsatellite,mono,Petren et al. (1999)
"Wood thrush, Hylocichla mustelina",51,2.960784314,NA,NA,0.137254902,1.137254902,1,2,microsatellite,mono,Evans et al 2008b
"Yellow-breasted chat, Icteria virens",55,2.1,1,3,0.233333333,1.266666667,1,2,microsatellite,mono,Mino et al 2011b
"Comb-crested jacana, Irediparra gallinacea",10,3.5,NA,NA,0.1,1.1,1,2,microsatellite,xmono,Haig et al 2003
"Jabiru, Jabiru mycteria",13,2.615384615,NA,NA,0.076923077,1.384615385,1,2,microsatellite,mono,Lopes et al 2013
"White-tailed ptarmigan, Lagopus leucura",18,3.222222222,NA,NA,0.166666667,1.166666667,1,2,microsatellite,mono,Benson 2002
"Crimson-breasted shrike, Laniarius atrococcineus",41,1.804878049,NA,NA,0.268292683,1.268292683,1,2,microsatellite,mono,van den Heuvel et al 2014
"Isabelline shrike, Lanius isabellinus",61,3.37704918,NA,NA,0.049180328,1.049180328,1,2,microsatellite,mono,Bao et al. 2019
"Savi's warbler, Locustella luscinioides",102,3.843137255,NA,NA,0.058823529,1.058823529,1,2,microsatellite,mono,Neto et al 2010
"Kalij pheasant, Lophura leucomelanos",13,6.076923077,NA,NA,0.538461538,1.769230769,1,3,microsatellite,xmono,Zeng et al 2016
"Common crossbill, Loxia curvirostra",34,2.823529412,NA,NA,0,1,1,1,microsatellite,mono,Kleven et al 2008
"Lovely fairy-wren, Malurus amabilis",29,2,1,3,0.275862069,1.379310345,1,3,microsatellite,xmono,Leitão et al. (2021)
"Superb fairy-wren, Malurus cyaneus",12,2.25,1,3,0.333333333,1.416666667,1,3,microsatellite,mono,Colombelli-Negrel et al 2009
"Song sparrow, Melospiza melodia",11,3.454545455,NA,NA,0.363636364,1.363636364,1,2,microsatellite,mono,Major and Barber 2004
"Subdesert mesite, Monias benschi",11,1.545454545,1,2,0.181818182,1.181818182,1,1,microsatellite,xmono,Seddon et al 2005
"Wood stork, Mycteria americana",29,3,NA,NA,0,1,1,1,microsatellite,mono,Mino et al 2011
"Monk parakeet, Myiopsitta monachus",52,1.115384615,NA,NA,0,1,1,1,microsatellite,mono,Goncalves da Silva et al 2010
"Monk parakeet, Myiopsitta monachus",14,1.928571429,NA,NA,0,1,1,1,microsatellite,mono,Goncalves da Silva et al 2010
"Monk parakeet, Myiopsitta monachus",12,2.833333333,NA,NA,0,1,1,1,microsatellite,mono,Goncalves da Silva et al 2010
"New Zealand hihi, Notiomystis cincta",485,3.171134021,NA,NA,0.437113402,1.579381443,1,5,microsatellite,mono,Brekke et al 2013
"Elegant scops-owl, Otus elegans",108,1.851851852,NA,NA,0.009259259,1.009259259,1,2,microsatellite,mono,Hsu et al 2006
"Golden whistlers, Pachycephala pectoralis",65,2,NA,NA,0.123076923,1.138461538,1,3,microsatellite,mono,van Dongen & Mulder 2009
"Vinous-throated parrotbills, Paradoxornis webbianus",50,4.92,NA,NA,0.26,1.36,1,4,microsatellite,mono,"Lee 2012, Lee et al 2009"
"Black-capped chickadee, Parus atricapillus",57,6.157894737,NA,NA,0.333333333,1.403508772,1,3,microsatellite,mono,Mennill et al 2004
"Blue tit, Parus caeruleus",14,6.285714286,NA,NA,0.285714286,1.214285714,1,2,microsatellite,mono,Johannessen et al 2005
"Great tit, Parus major",99,6.737373737,NA,NA,0.252525253,1.262626263,1,3,microsatellite,mono,van Oers et al 2008
"Great tit, Parus major",13,6.307692308,NA,NA,0.307692308,1.307692308,1,2,microsatellite,mono,Johannessen et al 2005
"Great tit, Parus major",47,6.468085106,NA,NA,0.553191489,1.617021277,1,3,microsatellite,mono,Garcia-Navas et al 2015
"Varied tit, Parus varius",40,6.275,NA,NA,0.4,1.4,1,2,microsatellite,mono,Ju et al 2014
"House sparrow, Passer domesticus",112,2.723214286,NA,NA,0.035714286,1.035714286,1,2,microsatellite,mono,Griffith et al 1999
"House sparrow, Passer domesticus",56,3.303571429,NA,NA,0.285714286,1.285714286,1,2,microsatellite,mono,Griffith et al 1999
"House sparrow, Passer domesticus",35,3.685714286,NA,NA,0.285714286,1.285714286,1,2,microsatellite,mono,Vaclav & Hoi 2007
"Siberian jay, Perisoreus infaustus",23,1.739130435,NA,NA,0,1,1,1,microsatellite,mono,Gienapp & Merila 2010
"New Zealand robin, Petroica australis",54,3.666666667,NA,NA,0.018518519,1.018518519,1,2,microsatellite,mono,Taylor et al 2008
"Imperial shag, Phalacrocorax atriceps",37,2.972972973,NA,NA,0,1,1,1,microsatellite,mono,Calderon et al (2012)
"Great cormorant, Phalacrocorax carbo",30,4.133333333,NA,NA,0.3,1.433333333,1,3,microsatellite,mono,Minias et al 2016
"Red phalarope, Phalaropus fulicarius",18,3.888888889,NA,NA,0.333333333,1.333333333,1,2,microsatellite,xmono,Dale et al. (1999)
"Saddleback, Philesturnus carunculatus",39,5.179487179,NA,NA,0,1,1,1,microsatellite,mono,Taylor et al. (2008)
"Sociable weaver, Philetairus socius",20,2.8,NA,NA,0,1,1,1,microsatellite,mono,Covas et al 2006
"Common redstart, Phoenicurus phoenicurus",38,6.657894737,NA,NA,0.105263158,1.105263158,1,2,microsatellite,mono,Kleven et al 2007
"Wood warbler, Phylloscopus sibilatrix",3,2,NA,NA,0.333333333,1.333333333,1,2,microsatellite,mono,Grendelmeier et al 2017
"Eurasian three-toed woodpecker, Picoides tridactylus",26,3.076923077,NA,NA,0.076923077,1.076923077,1,2,microsatellite,mono,Li et al 2009
"Spotted towhee, Pipilo maculatus",145,2.51754386,NA,NA,0.351,1.606896552,1,3,microsatellite,mono,Smith et al 2016
"Scarlet tanager, Piranga olivacea",17,3.176470588,NA,NA,0.294117647,1.529411765,1,3,microsatellite,mono,Klatt et al 2008
"Crimsom rosella, Platycercus elegans",42,4.404761905,1,8,0,1,1,1,microsatellite,mono,Eastwood et al. 2018
"American golden plover, Pluvialis dominica",31,3.451612903,NA,NA,0.161290323,1.161290323,1,2,microsatellite,mono,Yezerinac et al 2013
"Ground tit, Pseudopodoces humilis",75,4.693333333,NA,NA,0.013333333,1.013333333,1,2,microsatellite,mono,Johannessen et al 2011
"El oro parakeet, Pyrrhura orcesi",28,3.714285714,NA,NA,0.107142857,1.107142857,1,2,microsatellite,mono,Klauke et al 2013
"Red-billed quelea, Quelea quelea",37,1.513513514,NA,NA,0.324324324,1.324324324,1,2,microsatellite,mono,Dallimer & Jones 2007
"Cherrie's tanager, Ramphocelus costaricensis",31,1.8,1,2,0.133333333,1.133333333,1,2,microsatellite,mono,Krueger et al 2008
"White-crowned penduline tit, Remiz coronatus",5,5.8,NA,NA,0,1,1,1,microsatellite,mono,Ball et al. 2017
"Grey fantail, Rhipidura fuliginosa",25,1.96,2,3,0.64,1.8,1,3,microsatellite,mono,Hoffman et al 2010
"Black-legged kittiwake, Rissa tridactyla",86,1.38372093,NA,NA,0,1,1,1,microsatellite,mono,Helfenstein et al 2004
"Eastern bluebird, Sialia sialis",79,3.738095238,NA,NA,0.095238095,1.095238095,1,2,microsatellite,mono,Stewart et al 2010
"Saffron finch, Sicalis flaveola",54,3.666666667,NA,NA,0.222222222,1.296296296,1,4,microsatellite,mono,BenitezSaldivar et al. 2019
"European nuthatch, Sitta europaea",32,5.875,NA,NA,0.375,1.375,1,2,microsatellite,mono,Segelbacher et al 2005
"Dickcissel, Spiza americana",92,2.369565217,NA,NA,0.282608696,1.326086957,1,3,microsatellite,xmono,Sousa & Westneat 2013
"Field sparrow, Spizella pusilla",80,3.85,NA,NA,0.8,1.5,1,3,microsatellite,mono,Celis-Murillo et al 2017
"Southern emu-wren, Stipiturus malachurus",27,1.851851852,1,3,0.074074074,1.074074074,1,2,microsatellite,mono,Maguire & Mulder 2008
"Tawny owl, Strix aluco",37,3.702702703,NA,NA,0.027027027,1.027027027,1,2,microsatellite,mono,Saladin et al 2007
"Apostlebird, Struthidea cinerea",15,2.733333333,NA,NA,0,1,1,1,microsatellite,xmono,Woxvold & Mulder 2008
"Apostlebird, Struthidea cinerea",78,2.302325581,NA,NA,0.042857143,1.042857143,1,2,microsatellite,xmono,Warrington et al 2013
